"Mot clef";"Emplacement";"FR";"EN"
"accueil";"Page d'accueil";"Accueil";"Home"
"recherche";"Page d'accueil";"Recherche";"Search"
"par-mots-clefs";"Page d'accueil";"par mots-clés / Références";"Keyword / Product Reference"
"par-section";"Page d'accueil";"par section";"By category"
"nos-produits";"Page d'accueil";"Nos produits";"Our Products"
"mentions-legales";"Page d'accueil";"Mentions légales";"Terms and conditions"
"beoin-aide";"Page d'accueil";"Besoin d\'aide ?";"Need help ?"
"Cliquez-ici";"Page d'accueil";"Cliquez-ici";"Click here"
"description";"Page produit";"Description";"Description"
"references";"Page produit";"Références";"References"
"fichiers-annexes";"Page produit";"Fichiers annexes";"Add-ons"
"fiche-produit";"Page produit";"Fiche produit";"Product datasheet"
"telecharger-fiche-produit";"Page produit";"Télécharger la fiche produit";"Download the product datasheet"
"notice-utilisation";"Page produit";"Notice d'utilisation";"User Guide"
"telecharger-notice-utilisation";"Page produit";"Télécharger la notice d'utilisation";"Download the user guide"
"video";"Page produit";"Vidéo";"Video"
"regarder-video";"Page produit";"Regarder la vidéo";"Watch the video"
"autre-references";"Page Sku";"Autre références";"Other references"
"normes";"Page Sku";"Normes";"Standards"
"informations";"Page Sku";"Informations";"Information"
"telecharger-fiche-reference";"Page Sku";"Télécharger la fiche reference";"Download the product datasheet"
"reference-commencant-par";"Résultat de recherche";"Les références commençant par";"References that start with"
"resultat-recherche-pour";"Résultat de recherche";"Résultat de recherche pour";"Search results for"
"tout-selectionner";"Recherche Avancé";"Tout sélectionner";"Select all"
"voir";"Recherche Avancé";"Voir";"Display"
"telecharger-selection";"Recherche Avancé";"Télécharger la selection (PDF)";"Download the selection (PDF)"
"recherche-incorrecte";"Erreur Recherche";"Cette chaine est trop courte. Elle doit avoir au minimum 3 caractères. ";"This string is too short. A minimum of 3 characters is required"
"help-search";"Message d'aide pour la recheche";"Tapez un mot-clef, une reference, pour une recherche simple, pour une recherche avancée séparez les références par un ;";"Type a keyword or a reference for a standard search. Advanced search : type the references separated with a ';'"
"Reference - name";"Champs du moteur de recherche";"Référence - nom";"Reference - name"
